OrderID,Data,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200000,1/2/1900,C72649,Monitor,5,$570.62,928 Main St,Debit Card,Shipped,TRK37947903,7,SAVE10,Instagram,"$2,853.10"
ORD200001,1/5/2023,C75739,Phone,2,$151.35,823 Main St,Online,Shipped,TRK91186779,3,SAVE10,Referral,$302.70
ORD200002,1/6/2023,C81728,Tablet,5,$550.68,512 Main St,Credit Card,Cancelled,TRK42903982,8,FREESHIP,Email,"$2,753.40"
ORD200003,1/7/2023,C33540,Chair,1,$273.19,275 Main St,Debit Card,Returned,TRK62788070,5,SAVE10,Facebook,$273.19
ORD200004,1/8/2023,C81840,Printer,4,$626.01,668 Main St,Online,Delivered,TRK29241424,8,SAVE10,Email,"$2,504.04"
ORD200005,1/9/2023,C37249,Phone,2,$245.86,934 Main St,Credit Card,Shipped,TRK72976927,4,SAVE10,Instagram,$491.72
ORD200006,1/10/2023,C83492,Laptop,1,$664.42,986 Main St,Gift Card,Returned,TRK96417362,6,SAVE10,Facebook,$664.42
ORD200007,1/11/2023,C41460,Monitor,5,$149.55,706 Main St,Cash,Shipped,TRK78809193,9,FREESHIP,Facebook,$747.75
ORD200008,1/12/2023,C26817,Phone,2,$134.28,904 Main St,Gift Card,Cancelled,TRK61042692,2,SAVE10,Email,$268.56
ORD200009,1/13/2023,C31946,Desk,4,$509.38,102 Main St,Credit Card,Shipped,TRK33478363,6,WINTER15,Google,"$2,037.52"
ORD200010,1/14/2023,C43443,Tablet,5,$625.97,333 Main St,Credit Card,Returned,TRK98859248,9,SAVE10,Instagram,"$3,129.85"
ORD200011,1/15/2023,C93861,Monitor,3,$49.14,831 Main St,Online,Returned,TRK48234646,7,FREESHIP,Email,$147.42
ORD200012,1/16/2023,C38785,Monitor,2,$180.50,179 Main St,Debit Card,Pending,TRK20419991,6,FREESHIP,Referral,$361.00
ORD200013,1/17/2023,C88348,Laptop,3,$201.49,903 Main St,Credit Card,Returned,TRK81913874,4,SAVE10,Facebook,$604.47
ORD200014,1/18/2023,C98474,Tablet,2,$393.33,980 Main St,Debit Card,Pending,TRK79186539,3,,Instagram,$786.66
ORD200015,1/19/2023,C39416,Printer,1,$473.96,942 Main St,Cash,Delivered,TRK54930938,3,FREESHIP,Google,$473.96
ORD200016,1/20/2023,C28976,Printer,2,$533.81,914 Main St,Credit Card,Pending,TRK13194259,3,,Email,"$1,067.62"
ORD200017,1/21/2023,C60672,Tablet,1,$423.40,382 Main St,Debit Card,Shipped,TRK11972116,3,SAVE10,Referral,$423.40
ORD200018,1/22/2023,C84329,Desk,1,$431.44,891 Main St,Gift Card,Pending,TRK65191045,3,SAVE10,Facebook,$431.44
ORD200019,1/23/2023,C14552,Monitor,5,$224.00,273 Main St,Cash,Returned,TRK59101365,9,WINTER15,Google,"$1,120.00"
ORD200020,1/24/2023,C54829,Chair,5,$62.51,587 Main St,Cash,Pending,TRK16718651,9,,Instagram,$312.55
ORD200021,1/25/2023,C99023,Monitor,4,$342.95,569 Main St,Cash,Delivered,TRK52646983,6,SAVE10,Google,"$1,371.80"
